To,From,Reason for Dishing,Date,Room
@keepitsane,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@Kris,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@Bagholder McFomo III 🐙,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@metaverde,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@divine_comedian,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@santigs,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@ygg_anderson,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@penguin,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@sem  🐝,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@METADREAMER 🐙,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
